Congress,House Majority,Senate Majority,President
93rd (1973–1975),Democrats,Democrats,Republican (Nixon / Ford)11
94th (1975–1977),Democrats,Democrats,Republican (Ford)
95th (1977–1979),Democrats,Democrats,Democrat (Carter)
96th (1979–1981),Democrats,Democrats,Democrat (Carter)
97th (1981–1983),Democrats,Republicans,Republican (Reagan)
98th (1983–1985),Democrats,Republicans,Republican (Reagan)
99th (1985–1987),Democrats,Republicans,Republican (Reagan)
100th (1987–1989),Democrats,Democrats,Republican (Reagan)
101st (1989–1991),Democrats,Democrats,Republican (G.H.W. Bush)
102nd (1991–1993),Democrats,Democrats,Republican (G.H.W. Bush)
103rd (1993–1995),Democrats,Democrats,Democrat (Clinton)
104th (1995–1997),Republicans,Republicans,Democrat (Clinton)
105th (1997–1999),Republicans,Republicans,Democrat (Clinton)
106th (1999–2001),Republicans,Republicans,Democrat (Clinton)
107th (2001–2003),Republicans,Republicans, Democrats,Republican (G.W. Bush)
108th (2003–2005),Republicans,Republicans,Republican (G.W. Bush)
109th (2005–2007),Republicans,Republicans,Republican (G.W. Bush)
110th (2007–2009),Democrats,Democrats13,Republican (G.W. Bush)
111th (2009–2011),Democrats,Democrats,Democrat (Obama)
112th (2011–2013),Republicans,Democrats,Democrat (Obama)
113th (2013–2015),Republicans,Democrats,Democrat (Obama)
114th (2015–2017),Republicans,Republicans,Democrat (Obama)
115th (2017–2019),Republicans,Republicans,Republican (Trump)
116th (2019–2021),Democrats,Republicans,Republican (Trump)
117th (2021–2023),Democrats,Democrats14,Democrat (Biden)
118th (2023–2025),Republicans,Democrats,Democrat (Biden)
